ma_san_pham,ten_san_pham,gia_ban,gia_goc,hinh_anh
422208910,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 1000ml (Mới),494000,652000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-1000ml-moi_ZT4YhLqwdPEkdVXi_img_380x380_64adc6_fit_center.png
422218796,Combo 3 Xịt Khoáng La Roche-Posay Làm Dịu Và Bảo Vệ Da 50g,139000,435000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-3-xit-khoang-la-roche-posay-lam-diu-va-bao-ve-da-50g_mAVCcu5Rr1Rp8bPR_img_380x380_64adc6_fit_center.png
422223263,"Kem Chống Nắng Beplain Nâng Tông, Kiềm Dầu Mịn Lì 50ml",254000,485000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-beplain-nang-tong-kiem-dau-min-li-50ml-1720081915_img_380x380_64adc6_fit_center.jpg
422211640,Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,26000,35000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-bong-tay-trang-hotosu-cao-cap-150-mieng-1718617065_img_380x380_64adc6_fit_center.jpg
422225203,Kem Chống Nắng d,474000,816000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-d-alba-nang-tong-tim-hieu-chinh-sac-da-50ml_b2mdSKavEbnByV1e_img_380x380_64adc6_fit_center.png
422223264,"Kem Chống Nắng Beplain Nâng Tông, Cấp Ẩm Căng Bóng 50ml",244000,445000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-beplain-nang-tone-hieu-chinh-da-50ml-1720081725_img_380x380_64adc6_fit_center.jpg
422201504,Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml,200000,295000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422201504-1689925342_img_380x380_64adc6_fit_center.png
422206648,Nước Tẩy Trang L,169000,269000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-l-oreal-paris-lam-sach-va-cap-am-400ml_N7wgkbqNEL2q4oBK_img_380x380_64adc6_fit_center.png
422202025,Tẩy Da Chết Mặt Cocoon Cà Phê Đắk Lắk 150ml,122000,165000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422202025-1701315561_img_380x380_64adc6_fit_center.png
308500037,Hộp 8 Miếng Mặt Nạ Naruko Tràm Trà Kiềm Dầu Giảm Mụn 26ml/M,189000,299000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-308500037-1697790100_img_380x380_64adc6_fit_center.jpg
418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 30ml,188000,325000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-9-wishes-cap-am-chuyen-sau-25ml_NpoiisApuGCy2nCH_img_380x380_64adc6_fit_center.png
422223704,Kem Chống Nắng d,440000,816000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-d-alba-nang-tong-sang-hong-tu-nhien-50ml_bKApXLCyZ17dDJKs_img_380x380_64adc6_fit_center.png
422219888,Combo L,359000,899000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-l-oreal-serum-hyaluronic-acid-cap-am-sang-da-30ml-2-kem-duong-sieu-cap-am-cang-min-da-15ml-1713149888_img_380x380_64adc6_fit_center.jpg
249500019,Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),147000,199000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-chong-nang-sunplay-hieu-chinh-sac-da-50g-tim-1711601872_img_380x380_64adc6_fit_center.jpg
422204388,"Kem Chống Nắng Caryophy Nâng Tone, Ngừa Mụn 50ml",309000,450000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422204388-1732592308_img_380x380_64adc6_fit_center.jpg
422203609,Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 30ml,219000,366000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-sieu-duong-am-embryolisse-ho-tro-phuc-hoi-da-30ml_coQxo1jKNNomEsb9_img_380x380_64adc6_fit_center.png
211300002,Nước Hoa Hồng Simple Làm Dịu Da & Cấp Ẩm 200ml,109000,180000,https://media.hcdn.vn/catalog/product/f/a/facebookdynamic-nuoc-hoa-hong-simple-danh-cho-da-nhay-cam-200ml-1719903361_img_380x380_64adc6_fit_center.jpg
422204910,Nước Tẩy Trang Garnier Dành Cho Da Nhạy Cảm 400ml,138000,189000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-garnier-danh-cho-da-nhay-cam-400ml_PaXeVdzxMdrMRhRh_img_380x380_64adc6_fit_center.png
204100054,Gel Rửa Mặt Eucerin Cho Da Nhờn Mụn 400ml,448000,559000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-eucerin-cho-da-dau-mun-400ml_xnpPSA7fYgVzapjx_img_380x380_64adc6_fit_center.png
422212100,Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 20ml,60000,198000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422212100-1695975912_img_380x380_64adc6_fit_center.jpg
358300002,Serum Angel,369000,615000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-358300002-1702892911_img_380x380_64adc6_fit_center.png
422202569,Sữa Rửa Mặt Eucerin Dịu Nhẹ Cho Da Nhạy Cảm 400ml,239000,299000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-eucerin-ph5-cho-da-nhay-cam-400ml_Uqf2wnNYQcfSLcxy_img_380x380_64adc6_fit_center.png
422216298,Serum Tia,275000,499000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-tia-m-lam-sang-phuc-hoi-cho-da-dau-mun-nhay-cam-40ml_Lh8gqxusz6MhTCHw_img_380x380_64adc6_fit_center.png
422208974,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 88ml,128000,165000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-tao-bot-cho-da-thuong-den-da-dau-88ml_iBB3mTxTGvAWHD6d_img_380x380_64adc6_fit_center.png
422203776,Combo 4 Bông Tẩy Trang Ipek 150 Miếng,108000,200000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-4-bong-tay-trang-ipek-150-mieng-1723264451_img_380x380_64adc6_fit_center.jpg
422211876,Kem Dưỡng GoodnDoc Rau Má Dưỡng Ẩm Phục Hồi Da 50ml,399000,529000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211876-1697707978_img_380x380_64adc6_fit_center.jpg
100180113,Kem Dưỡng Bioderma Hỗ Trợ Phục Hồi Da Tổn Thương 40ml,276000,345000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-bioderma-phuc-hoi-va-lam-diu-da-bi-kich-ung-40ml-1690274570_img_380x380_64adc6_fit_center.jpg
422217899,Combo 2 Gel Rửa Mặt Cocoon Bí Đao Giúp Giảm Dầu & Mụn 310ml,265000,590000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-gel-rua-mat-cocoon-bi-dao-giup-giam-dau-mun-310ml_GMCyMXwkMx84smQT_img_380x380_64adc6_fit_center.png
422209491,"Serum Neogen Dermalogy Dưỡng Sáng Da, Mờ Thâm 32g",366000,615000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-neogen-dermalogy-duong-sang-da-mo-tham-32g-moi_6KSSso7iv1zibDHg_img_380x380_64adc6_fit_center.png
422211334,Sáp Tẩy Trang Banila Co Original Cho Mọi Loại Da 100ml,287000,480000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sap-tay-trang-banila-co-original-cho-moi-loai-da-100ml_sDRBjesRtBEaJ23V_img_380x380_64adc6_fit_center.png
293500050,"Serum SVR Làm Giảm Mụn, Mờ Nám, Làm Mềm Mịn Da 30ml",525000,715000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-svr-lam-giam-mun-mo-nam-lam-mem-min-da-30ml-1715661647_img_380x380_64adc6_fit_center.jpg
318900011,Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,217000,409000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-318900011-1730426434_img_380x380_64adc6_fit_center.jpg
204900004,"Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 200ml",286000,410000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-tao-bot-la-roche-posay-danh-cho-da-dau-nhay-cam-200ml_oMEouixg2xD5em51_img_380x380_64adc6_fit_center.png
422206774,Gel Tẩy Tế Bào Chết Caryophy Ngăn Ngừa Mụn 250ml,278000,450000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206774-1732588773_img_380x380_64adc6_fit_center.jpg
100180148,Kem Dưỡng Bioderma Giúp Se Khít Lỗ Chân Lông 30ml,399000,485000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-bioderma-giup-se-khit-lo-chan-long-giam-bong-nhon-30ml-1690274547_img_380x380_64adc6_fit_center.jpg
422217972,"Mặt Nạ Wonjin Cung Cấp Năng Lượng, Phục Hồi Chuyên Sâu 30g",22000,40000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422217972-1725431767_img_380x380_64adc6_fit_center.jpg
308900002,Tinh Chất Chống Nắng Tenamyd Dạng Nước SPF50/PA+++ 70ml,368000,529000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-308900002-1704954779_img_380x380_64adc6_fit_center.png
